# format="Code prestation";"Libellé du code prestation";"Date de fin de validité";"Type de prestation"
# erreurs connues : seuls les actes des specs 24,26,27,28,29 sont complets a ce jour (CDC Add. 6)
"AAD";"Autres accessoires traitement à domicile (Titre I Chapitre 1 de la LPP)";"";"Support"
"AAR";"Appareil d’Assistance Respiratoire (Titre I Chapitre 1 du de la LPP)";"";"Support"
"ACO";"Actes d’obstétrique";"";"Support"
"ADA";"Actes d’anesthésie";"";"Support"
"ADC";"Actes de chirurgie";"";"Support"
"ADE";"Actes d’échographie";"";"Support"
"ADI";"Actes d’imagerie";"";"Support"
"ADP";"Actes divers de prothèses dentaires";"";"Support"
"AIS";"Acte infirmier de soin";"";"Support"
"AMC";"Acte de Kinésithérapie en établissement";"";"Support"
"AMI";"Soin infirmier";"";"Support"
"AMK";"Acte de kinésithérapie";"";"Support"
"AMO";"Séance d’orthophonie";"";"Support"
"AMP";"Soin de pédicurie";"";"Support"
"AMS";"Acte de kinésithérapie ostéo-articulaire";"";"Support"
"AMY";"Séance d’orthoptie";"";"Support"
"ARO";"Générateur d’aérosol";"";"Support"
"ATD";"Complément AT Dentaire";"";"Secondaire"
"ATL";"Complément AT LPP";"";"Secondaire"
"ATM";"Actes techniques médicaux (hors imagerie)";"";"Support"
"AXI";"Prophylaxie bucco-dentaire";"";"Support"
"B";"Acte de biologie";"";"Support"
"BDC";"Examen bucco-dentaire";"";"Support"
"BR2";"Examen Bucco-dentaire plus 1 ou 2 clichés radios";"";"Support"
"BR4";"Examen Bucco-dentaire plus 3 ou 4 clichés radios";"";"Support"
"C";"Consultation";"";"Support"
"CA";"Consultation approfondie";"";"Support"
"CG";"Consultation suivi de grossesse";"";"Support"
"CNP";"Consultation neuropsychiatre";"";"Support"
"COR";"Podo-orthèse";"";"Support"
"CPH";"Copie d’ordonnance";"";"Secondaire"
"CRD";"Majoration consultation régulée dimanche, férié et assimilé";"";"Secondaire"
"CRM";"Majoration astreinte milieu de nuit sur la consultation";"";"Secondaire"
"CRN";"Majoration astreinte nuit sur la consultation";"";"Secondaire"
