# format="Code régime";"Caisse gestionnaire";"Centre gestionnaire";"FSE AT"
"01";"";"";"O"
"02";"571";"";"N"
"02";"575";"";"N"
"02";"579";"";"N"
"02";"671";"";"N"
"02";"675";"";"N"
"02";"679";"";"N"
"02";"681";"";"N"
"02";"685";"";"N"
"02";"689";"";"N"
"02";"";"";"O"
"04";"";"";"O"
"05";"";"";"O"
"06";"";"";"O"
"07";"";"";"O"
"08";"";"";"N"
"10";"";"";"N"
"12";"";"";"N"
"14";"";"";"N"
"15";"";"";"N"
"16";"";"";"N"
"91";"";"";"N"
"92";"";"";"N"
"93";"";"";"N"
"94";"";"";"N"
"95";"";"";"N"
"96";"";"";"N"
"99";"";"";"N"
