# format="Code prestation de type secondaire (acte ne pouvant être facturé seul)";"Code prestation associé (de type « support »)"
"ATD";"PRO,SPR"
"ATL";"AAD,AAR,ARO,COR,DVO,LEN,LUN,MAC,MAD,OPC,OPT,ORP,PA,PAN,PAU,PEX,PII,POC,VER,VEH"
"CRD";"C,CS,CNP,K,KC,Z"
"CRM";"C,CS,CNP,K,KC,Z"
"CRN";"C,CS,CNP,K,KC,Z"
"CRS";"C,CS,CNP,K,KC,Z"
"CST";"STH,THR"
"DAP";"Tous"
"DPS";"Tous"
"FDA";"ADP,PDA,PFE,PFM,PRO,SPR"
"FDC";"ADP,PDA,PFE,PFM,PRO,SPR"
"FDO";"TO,ORT,TOR"
"FDR";"ADP,PDA,PFE,PFM,PRO,SPR"
"FMV";"FHV"
"FPC";"PRO,SPR"
"FPE";"C,CS,V,VS"
"FPO";"ORT,TO"
"FSD";"ADC"
"MAF";"CNP"
"MAP";"P"
"MAS";"CS"
"MAU";"AMI"
"MBB";"CS,VS"
"MCC";"CSC"
"MCE";"CS"
"MCG";"C,CS"
"MCI";"AMI,AIS"
"MCS";"CS,CNP,VA,VNP,VS"
"MD";"V,VAC,VS"
"MDD";"V,VS"
"MDI";"V,VS"
"MDN";"V,VS"
"MGE";"C,CS,V,VS"
"MM";"AMI,AIS,C,CG,CS,K,KC,KE,SF,SP,V,VS,Z"
"MNO";"C,CS,V,VS"
"MNP";"CS,VS"
"MPC";"CS,CNP"
"MPF";"CNP"
"MPI";"Tous"
"MPJ";"CS,CNP"
"MTA";"CS"
"MTS";"CS,VS"
"MU";"ACO,ADA,ADC,ATM"
"PAV";"ACO,ADA,ADC,ADE,ATM,K,KC,KE,SF"
"SGA";"Tous"
"SGN";"Tous"
"VDC";"ATM"
"VRD";"Tous"
"VRM";"Tous"
"VRN";"Tous"
"VRS";"Tous"
