# format="Specialite","Code prestation"
"01","C,CA,CRD,CRM,CRN,CRS,CST,DAP,DPS,FHV,FMV,FPE,FSD,HN,ID,IK,IKM,IKS,K,KA,KC,KE,KGP,KMO,KTH,MCG,MD,MDD,MDI,MDN,MGE,MHU,MM,MNO,MPI,MU,ORT,PAV,PG7,PH1,PH2,PH4,PH7,PHN,PM2,PM4,PMH,PMR,PPI,PRO,SCM,SGA,SGN,SGS,SES,STH,TDR,THR,TNS,UPH,V,VA,VAC,VDC,VRD,VRM,VRN,VRS,Z"
"02",",C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"03","C,CRD,CRM,CRN,CS,CSC,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCC,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"04","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,MTC,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZM,ZN"
"05","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"06","C,CRD,CRM,CRN,CS,FTN,FTR,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFD,MCS,MPC,MPJ,PAV,PRA,SES,TDR,V,VA,VRD,VRM,VRN,VS,Z,ZM,ZN"
"07","C,CRD,CRM,CRN,CS,CST,FHV,FMV,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFD,KTH,MCS,MPC,MPJ,MTC,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZM,ZN"
"08","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"09","C,CRD,CRM,CRN,CS,CSC,CST,FHV,FMV,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCC,MCE,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"10","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KTH,MCS,MPC,MPJ,MTC,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"11","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KFA,KFB,KMO,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"12","C,CRD,CRM,CRN,CS,CST,FPE,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KMO,KTH,MAS,MBB,MCS,MM,MNP,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"13","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
"14","C,CRD,CRM,CRN,CS,CST,HN,ID,IK,IKM,IKS,K,KA,KC,KCC,KE,KTH,MCS,MPC,MPJ,PAV,PRA,SES,STH,TDR,THR,V,VA,VRD,VRM,VRN,VS,Z,ZN"
