# format="Code prestation";"Assuré";"Ascendant, descendant, collatéraux ascendants";"Conjoint";"Conjoint divorcé";"Concubin";"Conjoint séparé";"Enfant";"Conjoint veuf";"Autre ayant-droit";"Age min (mois)";"Age min (années)";"Age max (mois)";"Age max (années)"
"AAD";1;1;1;1;1;1;1;1;1;;;;
"AAR";1;1;1;1;1;1;1;1;1;;;;
"AIS";1;1;1;1;1;1;1;1;1;;;;
"AMC";1;1;1;1;1;1;1;1;1;;;;
"AMI";1;1;1;1;1;1;1;1;1;;;;
"AMK";1;1;1;1;1;1;1;1;1;;;;
"AMO";1;1;1;1;1;1;1;1;1;;;;
"AMP";1;1;1;1;1;1;1;1;1;;;;
"AMS";1;1;1;1;1;1;1;1;1;;;;
"AMY";1;1;1;1;1;1;1;1;1;;;;
"ARO";1;1;1;1;1;1;1;1;1;;;;
"ATD";1;1;1;1;1;1;1;1;1;;;;
"ATL";1;1;1;1;1;1;1;1;1;;;;
"B";1;1;1;1;1;1;1;1;1;;;;
"BDC";1;1;1;1;1;1;1;1;1;;;;
"BR2";1;1;1;1;1;1;1;1;1;;;;
"BR4";1;1;1;1;1;1;1;1;1;;;;
"C";1;1;1;1;1;1;1;1;1;;;;
"CA";1;1;1;1;1;1;1;1;1;;;;
"CG";1;1;1;1;1;1;1;1;1;;;;
"CNP";1;1;1;1;1;1;1;1;1;;;;
"COR";1;1;1;1;1;1;1;1;1;;;;
"CPH";1;1;1;1;1;1;1;1;1;;;;
"CRD";1;1;1;1;1;1;1;1;1;;;;
"CRM";1;1;1;1;1;1;1;1;1;;;;
"CRN";1;1;1;1;1;1;1;1;1;;;;
"CRS";1;1;1;1;1;1;1;1;1;;;;
"CS";1;1;1;1;1;1;1;1;1;;;;
"CSC";1;1;1;1;1;1;1;1;1;;;;
"CST";1;1;1;1;1;1;1;1;1;;;;
"D";1;1;1;1;1;1;1;1;1;;;;
"DC";1;1;1;1;1;1;1;1;1;;;;
"DAP";1;1;1;1;1;1;1;1;1;;;;
"DI";1;1;1;1;1;1;1;1;1;;;;
"DPS";1;1;1;1;1;1;1;1;1;;;;
"DVO";1;1;1;1;1;1;1;1;1;;;;
"FDA";1;1;1;1;1;1;1;1;1;;;;
"FDC";1;1;1;1;1;1;1;1;1;;;;
"FDO";1;1;1;1;1;1;1;1;1;;;;
"FDR";1;1;1;1;1;1;1;1;1;;;;
"FHV";1;1;1;1;1;1;1;1;1;;;;
"FMV";1;1;1;1;1;1;1;1;1;;;;
