# format="Code prestation";"Compatibilité de l’acte avec la nature d’assurance maladie";"Compatibilité de l’acte avec la nature d’assurance maternité";"Compatibilité de l’acte avec la nature d’assurance Accident du Travail";il";"Compatibilité de l’acte avec la nature d’assurance Soins Médicaux Gratuits";"Nécessité d’une prescription";"Nécessité d’un coefficient (***)";"Valeurs minimales et maximales du coefficient";"Compatibilité de l’acte avec des indemnités de déplacement";"Compatibilité de l’acte avec une majoration : Férié";"Compatibilité de l’acte avec une majoration : Nuit";"Compatibilité de l’acte avec une majoration : Urgence";"T.R théorique (*)";"T.R. théorique CRPCEN";"Spécialité"
"AAD";"O";"O";"O";"O";"O";"N";"";"N";"N";"N";"N";60;85;
"AAR";"O";"O";"O";"O";"O";"N";"";"N";"N";"N";"N";60;85;
"AIS";"O";"O";"O";"O";"O";"O";"[0.5 ; 32]";"O";"O";"O";"N";60;80;
"AMC";"O";"O";"O";"O";"O";"O";"<= 20";"O";"O";"O";"N";60;80;
"AMI";"O";"O";"O";"O";"O";"O";"[0.25 ;32]";"O";"O";"O";"N";60;80;
"AMK";"O";"O";"O";"O";"O";"O";"<= 20";"O";"O";"O";"N";60;80;
"AMO";"O";"O";"O";"O";"O";"O";"[2.5 ; 30]";"O";"N";"N";"N";60;80;
"AMP";"O";"O";"O";"O";"O";"O";"[1.5 ; 6]";"O";"O";"O";"N";60;80;
"AMS";"O";"O";"O";"O";"O";"O";"<= 9.5";"O";"O";"O";"N";60;80;
"AMY";"O";"O";"O";"O";"O";"O";"[2 ; 16]";"O";"O";"O";"N";60;80;
"ARO";"O";"O";"O";"O";"O";"N";"";"N";"N";"N";"N";60;85;
"ATD";"N";"N";"O";"N";"so";"N";"";"N";"N";"N";"N";100;0;
"ATL";"N";"N";"O";"N";"so";"N";"";"N";"N";"N";"N";100;0;
"B";"O";"O";"O";"O";"O";"O";"";"N";"N";"N";"N";60;75;
"BDC";"O";"N";"N";"N";"N";"N";"";"O";"N";"N";"N";100;100;
"BR2";"O";"N";"N";"N";"N";"N";"";"O";"N";"N";"N";100;100;
"BR4";"O";"N";"N";"N";"N";"N";"";"O";"N";"N";"N";100;100;
"C";"O";"O";"O";"O";"N";"N";"[0.9 ;6 ]";"O";"O";"O";"N";70;85;21
"C";"O";"O";"O";"O";"N";"N";"[0.9 ;6 ]";"N";"O";"O";"N";70;85;
"CA";"O";"O";"N";"N";"N";"N";"";"N";"N";"N";"N";70;85;
"CG";"O";"O";"N";"N";"N";"N";"";"O";"O";"O";"N";70;85;
"CNP";"O";"O";"O";"O";"N";"N";"";"N";"O";"O";"N";70;85;
"COR";"O";"O";"O";"O";"O";"N";"";"N";"N";"N";"N";60;85;
"CPH";"O";"O";"O";"O";"N";"N";"";"N";"N";"N";"N";100;100;
"CRD";"O";"O";"O";"O";"N";"N";"";"N";"so";"so";"so";70;85;
"CRM";"O";"O";"O";"O";"N";"N";"";"N";"so";"so";"so";70;85;
"CRN";"O";"O";"O";"O";"N";"N";"";"N";"so";"so";"so";70;85;
"CRS";"O";"O";"O";"O";"N";"N";"";"N";"so";"so";"so";70;85;
"CS";"O";"O";"O";"O";"N";"N";"";"N";"O";"O";"N";70;85;
"CSC";"O";"O";"O";"O";"N";"N";"";"N";"O";"O";"N";70;85;
"CST";"O";"O";"O";"O";"N";"N";"";"N";"N";"N";"N";70;85;
"D";"O";"O";"O";"O";"N";"O";"<= 150";"O";"O";"O";"N";70;85;
"DC";"O";"O";"O";"O";"N";"O";"";"O";"O";"O";"N";70;85;
"DAP";"N";"N";"N";"O";"N";"N";"";"N";"N";"N";"N";100;0;
"DI";"O";"O";"O";"O";"O";"O";"[ 1 ; 1.5]";"O";"N";"N";"N";60;80;
"DPS";"N";"N";"N";"O";"N";"N";"";"N";"N";"N";"N";100;0;
"DVO";"O";"O";"O";"O";"O";"N";"";"N";"N";"N";"N";60;85;
"FDA";"O";"O";"N";"N";"N";"N";"";"N";"N";"N";"N";0;0;
"FDC";"O";"O";"N";"N";"N";"N";"";"N";"N";"N";"N";0;0;
"FDO";"O";"O";"N";"N";"N";"N";"";"N";"N";"N";"N";0;0;
"FDR";"O";"O";"N";"N";"N";"N";"";"N";"N";"N";"N";0;0;
"FHV";"O";"N";"N";"N";"N";"N";"";"N";"N";"N";"N";70;85;
"FMV";"O";"N";"N";"N";"N";"N";"";"N";"N";"N";"N";70;85;
"FPC";"O";"O";"N";"N";"N";"N";"";"N";"N";"N";"N";0;0;
"FPE";"O";"O";"O";"O";"N";"N";"";"N";"O";"O";"N";100;100;
"FPO";"O";"O";"N";"N";"N";"N";"";"N";"N";"N";"N";0;0;
"FSD";"O";"O";"O";"O";"N";"N";"";"N";"N";"N";"N";70;85;
"FTN";"O";"O";"O";"O";"N";"N";"";"N";"N";"N";"N";100;100;
"FTR";"O";"O";"O";"O";"N";"N";"";"N";"N";"N";"N";100;100;
"GLU";"O";"O";"N";"O";"O";"N";"";"N";"N";"N";"N";60;85;
"HN";"O";"O";"O";"O";"N";"N";"";"N";"N";"N";"N";0;0;
"ID";"O";"O";"O";"O";"N";"N";"";"N";"so";"so";"so";60;80;30
"ID";"O";"O";"O";"O";"N";"N";"";"N";"so";"so";"so";60;80;39
"ID";"O";"O";"O";"O";"N";"N";"";"N";"so";"so";"so";60;80;40
"ID";"O";"O";"O";"O";"N";"N";"";"N";"so";"so";"so";70;85;
"IF";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";70;85;
"IFA";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";70;80;21
"IFA";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";60;80;
"IFN";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";60;80;
"IFO";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";60;80;
"IFP";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";60;80;
"IFR";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";60;80;
"IFS";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";60;80;
"IK";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";100;100;
"IKM";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";100;100;
"IKS";"O";"O";"O";"O";"so";"N";"";"";"so";"so";"so";100;100;
"K";"O";"O";"O";"O";"N";"O";"[0.2 ; 500]";"O";"O";"O";"O";70;85;
"KA";"O";"O";"O";"O";"N";"O";"";"O";"O";"O";"N";70;85;
"KB";"O";"O";"O";"O";"O";"O";"[2 ; 10]";"O";"O";"O";"N";60;80;
"KC";"O";"O";"O";"O";"N";"O";"[1.5 ; 500]";"O";"O";"O";"O";70;85;
"KE";"O";"O";"O";"O";"N";"O";"[7 ; 65]";"O";"O";"O";"N";70;85;
"KGP";"O";"O";"N";"N";"O";"N";"";"N";"N";"N";"N";100;100;
