# version=2010
# format=specialité;date application;code;prix metropole;prix outre mer et mayotte
# ATTENTION: les tarifs doivent être précisés en centimes : 2euros -> 200
26;31-03-2006;AMK;204;224
26;31-03-2006;AMC;204;224
26;31-03-2006;AMS;204;224
26;31-03-2006;IFA;200;200
26;31-03-2006;IFO;400;400
26;31-03-2006;IFR;400;400
26;31-03-2006;IFN;400;400
26;31-03-2006;IFP;400;400
26;31-03-2006;IFS;400;400
26;31-03-2006;Majo-N;915;915
26;31-03-2006;Majo-D;762;762
26;31-03-2006;IK;038;043
26;31-03-2006;IKM;061;066
26;31-03-2006;IKS;335;335
28;27-12-2007;AMO;240;240
28;27-12-2007;IFA;152;152
28;27-12-2007;IK;024;027
28;27-12-2007;IKM;037;040
28;27-12-2007;IKS;107;107
29;28-11-2008;AMY;250;250
29;28-11-2008;Majo-N;915;915
29;28-11-2008;Majo-D;762;762
29;28-11-2008;IFA;220;220
29;28-11-2008;IK;024;027
29;28-11-2008;IKM;037;040
29;28-11-2008;IKS;107;107
24;18-04-2010;AMI;315;330
24;18-04-2010;AIS;265;270
24;18-04-2010;DI;1000;1000
24;18-04-2010;IFA;230;230
24;18-04-2010;IK;035;035
24;18-04-2010;IKM;050;050
24;18-04-2010;IKS;340;340
24;18-04-2010;Majo-D;800;800
24;18-04-2010;Majo-N;915;915
24;18-04-2010;Majo-N-23-5;1830;1830
28;06-11-2012;AMO;250;262
28;06-11-2012;IFA;250;250
26;15-07-2012;AMK;215;236
26;15-07-2012;AMC;215;236
26;15-07-2012;AMS;215;236
26;15-07-2012;IFA;250;250
24;27-05-2012;IFA;250;250
24;27-05-2012;MAU;135;135
24;27-05-2012;MCI;500;500
